,Product,Price,year,City,Brand
1361,2019 Polaris Slingshot Slingshot SLR Icon Envy Green SLR ICON In,46999,2019,houston,polaris
1362,2019 Polaris® Slingshot® SLR,29460,2019,dallas,polaris
1363,2019 Royal Enfield Himalayan ABS  -Premium Dealer!,4799,2019,dallas,royal
1364,2019 SlingShot Grand Touring,27900,2019,houston,slingshot
1365,2019 Suzuki Boulevard C50,7299,2019,dallas,suzuki
1366,2019 Suzuki Boulevard M109R B.O.S.S. V Twin 1783 cc,13999,2019,houston,suzuki
1367,2019 Suzuki Boulevard S40,5999,2019,dallas,suzuki
1368,2019 Suzuki GSX-R 750 Horizontal In-line 750 cc,12499,2019,dallas,suzuki
1369,2019 Suzuki GSX250R GSX 250 R GSX-250-R,4499,2019,dallas,suzuki
1370,2019 Triumph 1200 Scrambler,11500,2019,corpuschristi,triumph
1371,2019 Triumph Bonneville Speedmaster Jet Black,12360,2019,austin,triumph
1372,2019 Triumph Scrambler 1200 XE,13850,2019,sanantonio,triumph
1373,2019 Triumph Speed Twin Parallel Twin 1200 cc,8980,2019,austin,triumph
1374,2019 Triumph Street Scrambler Cranberry Red,10480,2019,austin,triumph
1375,2019 Triumph Street Triple RS 765,8000,2019,austin,triumph
1376,2019 Triumph Street Triple RS Crystal White,12180,2019,austin,triumph
1377,2019 YAMAHA YZF-R6,12960,2019,dallas,yamaha
1378,2019 YZ 250f,5250,2019,austin,yz
1379,2019 Yamaha MT 07 Yamaha MT 07,7499,2019,amarillo,yamaha
1380,2019 Yamaha MT-09,8950,2019,austin,yamaha
1381,2019 Yamaha MT-09 09 Horizontal In-line 847 cc,10105,2019,houston,yamaha
1382,2019 Yamaha MT10,15000,2019,dallas,yamaha
1383,2019 Yamaha R6 R 6 R-6,13599,2019,dallas,yamaha
1384,2019 Yamaha V Star 250 V Twin 249 cc,4590,2019,easttexas,yamaha
1385,2019 Yamaha YZ450F dirt bike,6950,2019,houston,yamaha
1386,2019 Yamaha YZF-R6,13999,2019,dallas,yamaha
1387,2019 Yamaha Zuma 50F,2680,2019,austin,yamaha
1388,2019 ktm 450 xc-f street legal enduro moto bike,7500,2019,sanantonio,ktm
1389,2019 or Newer Kavaki 190cc and 250cc Motorcycles,3000,2019,beaumont,or
1390,2020 *Can-Am* *Ryker* *Rally* *Edition* *900*,11992,2020,abilene,canam
1391,2020 *Ducati* *Panigale* *V2*,15981,2020,abilene,ducati
1392,2020 *Ducati* *Scrambler* *Icon* *Dark*,9500,2020,abilene,ducati
1393,2020 *Harley-Davidson* *FLTRXS* *Road* *Glide* *Special* *114*,29500,2020,abilene,harleydavidson
1394,2020 *Harley-Davidson* *Softail* *Standard*,13992,2020,abilene,harleydavidson
1395,2020 *Harley-Davidson* *Street* *Bob* *FXBB*,15982,2020,abilene,harleydavidson
