,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
149,2001 Triumph Tiger 955i,hybrid,24000,,,automatic,good,,,2495,2001,beaumont,triumph
150,2001 XR80R,gas,1000,,,manual,good,80,dirtbike,1500,2001,austin,xr80r
151,2001 Yamaha FZ1,Unknown,21772,blue,clean,other,,,,3490,2001,easttexas,yamaha
152,2001 Yamaha Road Star Bagger,gas,20000,,clean,manual,like new,1600,touring,4195,2001,abilene,yamaha
153,2001 Yamaha XVS 1100,gas,33000,black,clean,manual,excellent,1100,cruiser,3000,2001,austin,yamaha
154,2001 kawasaki Vulcan 800,gas,24000,red,clean,manual,like new,,cruiser,7800,2001,dallas,kawasaki
155,2002 BMW R1150 RT Motorcycle,gas,120000,,,manual,excellent,,sport touring,3700,2002,austin,bmw
156,2002 HONDA CBR11,gas,40456,black,clean,manual,good,1100,sport bike,4500,2002,amarillo,honda
157,2002 HONDA GOLDWING 1800  TRIKE ADVENTURE - ONLY 58K MILES,,,,,,,,,14500,2002,houston,honda
158,2002 Harley Davidson Fatboy,gas,27010,,,manual,,,,6500,2002,easttexas,harley
159,2002 Harley Davidson Heritage Softail,gas,43353,black,clean,manual,excellent,,cruiser,6500,2002,houston,harley
160,2002 Harley Davidson Night Train,gas,19335,,,manual,,,,10000,2002,sanantonio,harley
161,2002 Harley Dyna Low Rider Custom,gas,24500,red,clean,manual,excellent,1449,cruiser,6900,2002,houston,harley
162,2002 Harley-Davidson® FLSTF - Softail® Fat Boy®,,,,,,,,,6999,2002,dallas,harleydavidson
163,2002 Honda Shadow 750,,,,,,,,,2800,2002,houston,honda
164,2002 Honda Shadow 750 Spirit - VT750DC,,,,,,,,,3099,2002,dallas,honda
165,2002 Honda vtx1800,gas,41000,,clean,manual,,,touring,4000,2002,amarillo,honda
166,2002 Royal Enfield motorcycle,,,,,,,,,3600,2002,waco,royal
167,2002 Yamaha R6 Runs and Drives,,,,,,,,,2000,2002,corpuschristi,yamaha
168,2002 cr250r,other,100000,black,,manual,like new,250,dirtbike,3600,2002,dallas,cr250r
169,2002 harley davidson sportster,gas,22000,custom,clean,manual,excellent,1200,cruiser,4000,2002,corpuschristi,harley
170,2003 *Harley-Davidson* *FLHRSEI* *Screamin'* *Egl* *Rd*,other,41380,,clean,manual,,,,11752,2003,abilene,harleydavidson
171,2003 *Harley-Davidson* *Heritage* *Softail* *Classic* *FLSTI*,other,52958,black,clean,manual,,,,7991,2003,abilene,harleydavidson
172,2003 Dyna Wide Glide Harley-Davidson,gas,28000,black,clean,manual,excellent,1400,cruiser,5000,2003,dallas,dyna
173,2003 HARLEY ULTRA CLASSIC 100th Anniversary FLHTCUI - Collector Ultra,,,,,,,,,8800,2003,amarillo,harley
174,2003 Harley Davidson,gas,26425,,clean,other,,,,15,2003,mcallen,harley
175,2003 Harley Davidson  100 year anniversary addition,,,,,,,,,12000,2003,houston,harley
176,2003 Harley Davidson Electra Glide,,,,,,,,,7000,2003,sanantonio,harley
177,2003 Harley Davidson Electra glide,gas,42000,,,automatic,good,,,5000,2003,houston,harley
178,2003 Harley Davidson Roadking,gas,10149,red,clean,manual,excellent,88,touring,12000,2003,houston,harley
179,2003 Harley Davidson Ultra-Classic,gas,25343,black,clean,manual,excellent,1450,touring,9800,2003,dallas,harley
180,2003 Harley Davidson XLH 883 Custom,gas,30000,blue,clean,manual,good,883,sport touring,5000,2003,dallas,harley
181,2003 Harley Davidson heritage Softail classic,gas,30,black,clean,manual,good,1400,cruiser,6500,2003,sanantonio,harley
182,2003 Harley Road King,gas,21000,,clean,manual,,135,,25000,2003,houston,harley
183,2003 Harley electric glide 100 year anniversary addition,gas,10000,silver,salvage,manual,good,,cruiser,7000,2003,dallas,harley
184,2003 Harley-Davidson FXST,gas,26425,,clean,other,,,,9332,2003,corpuschristi,harleydavidson
185,2003 Harley-Davidson® XL1200C - Sportster® 1200 Custom 100th,,,,,,,,,4950,2003,sanantonio,harleydavidson
186,2003 Honda CR 125 (2 Stroke),gas,Unknown,,,manual,excellent,125,dirtbike,3000,2003,brownsville,honda
187,2003 Honda Goldwing Low miles,,,,,,,,,9500,2003,dallas,honda
188,2003 Honda VFR800 Interceptor,gas,19547,red,clean,manual,excellent,800,sport touring,4500,2003,austin,honda
189,2003 Kawasaki EX250 Ninja,gas,25000,yellow,clean,manual,excellent,250,sport bike,2250,2003,austin,kawasaki
190,2003 Night Train Anniversary,gas,26400,black,lien,manual,good,,,6000,2003,dallas,night
191,2003 Suzuki 800 Maurader,gas,8600,grey,clean,manual,excellent,800,cruiser,3000,2003,mcallen,suzuki
192,2003 Suzuki INTRUDER VL1500 COBRA pipes (theft recovery),gas,odometer broken,,,manual,,,,950,2003,sanantonio,suzuki
193,2003 Suzuki LTA 50cc,,,,,,,,,1100,2003,dallas,suzuki
194,2003 Suzuki intruder,gas,44000,black,clean,manual,like new,,cruiser,4000,2003,dallas,suzuki
195,2003 TTR 125,gas,500,,,manual,,,,1700,2003,austin,ttr
196,2003 VTX 1800C,,,,,,,,,4500,2003,houston,vtx
197,2003 Victory V92TC,gas,43000,red,clean,manual,good,1500,cruiser,5000,2003,austin,victory
198,2003 Yamaha YZF R6  -Finance it with Instant Credit Approval!,,,,,,,,,4995,2003,beaumont,yamaha
199,2003 harley davidson ultra   anniversary,gas,40000,silver,clean,manual,excellent,96,cruiser,8500,2003,houston,harley
200,2003 honda VTX 1300,gas,7786,,clean,manual,excellent,,sport bike,3100,2003,dallas,honda
201,2003 kawasaki ZRX 1200R,gas,15000,blue,clean,manual,like new,1200,sport bike,6800,2003,dallas,kawasaki
202,2003 road king anniversary edition,gas,27000,,,manual,,,,8000,2003,austin,road
203,2003 vtx 1800C,gas,42054,black,clean,manual,excellent,1800,cruiser,5000,2003,houston,vtx
204,2004 Big Dog Motorcycles Mastiff,gas,27522,black,clean,other,,,,9950,2004,sanantonio,big
205,2004 HARLEY DAVIDSON HERITAGE SOFTAIL CLASSIC FLSTI,gas,31711,white,clean,manual,good,1449,cruiser,10000,2004,dallas,harley
206,2004 HARLEY DAVIDSON ULTRA CLASSIC ELECTRA GLIDE FLHTCUI,gas,30880,red,clean,manual,good,1449,touring,9500,2004,houston,harley
207,2004 HARLEY DAVIDSON V-ROD,,,,,,,,,6480,2004,dallas,harley
208,2004 Harley Davidson Road King Custom,gas,17900,black,clean,manual,excellent,1450,cruiser,6800,2004,austin,harley
209,2004 Harley Davidson Road King FLHRCI,gas,47689,black,clean,manual,,,cruiser,6800,2004,corpuschristi,harley
210,2004 Harley Davidson Softail Bagger,gas,37887,red,clean,manual,excellent,1442,touring,8100,2004,sanantonio,harley
211,2004 Harley FXDI Dyna Super Glide®,gas,13200,black,clean,manual,excellent,1449,touring,7999,2004,houston,harley
212,2004 Harley Softail Deuce CVO,gas,20000,,,manual,,,,15000,2004,austin,harley
213,2004 Harley davidson sportster,,,,,,,,,5000,2004,houston,harley
214,2004 Harley-Davidson Fat Boy FLSTFI,gas,27310,red,clean,manual,excellent,,cruiser,7000,2004,dallas,harleydavidson
215,2004 Harley-Davidson® FLHTCI - Electra Glide® Classic,,,,,,,,,10950,2004,corpuschristi,harleydavidson
216,2004 Harley-Davidson® FLSTC - Heritage Softail® Classic,,,,,,,,,7490,2004,dallas,harleydavidson
217,2004 Harley-Davidson® FLSTCI - Heritage Softail® Classic,,,,,,,,,8750,2004,dallas,harleydavidson
218,2004 Harley-Davidson® FLSTFI - Softail® Fat Boy®,gas,27310,red,clean,manual,excellent,,cruiser,7996,2004,dallas,harleydavidson
219,2004 Harley-Davidson® FXSTD - Softail® Deuce,,,,,,,,,7996,2004,dallas,harleydavidson
220,2004 Harley-Davidson® XL1200C - Sportster® 1200 Custom,,,,,,,,,4896,2004,dallas,harleydavidson
221,2004 Honda CR250X,gas,100,red,,manual,excellent,250,dirtbike,3199,2004,dallas,honda
222,2004 Honda VFR800,gas,12500,red,clean,manual,excellent,,sport touring,4500,2004,dallas,honda
223,2004 Honda VTX1300C4,gas,8194,black,clean,manual,good,1300,cruiser,3600,2004,beaumont,honda
224,2004 Kawasaki KDX 220r,gas,999,green,clean,manual,excellent,220,dirtbike,4950,2004,dallas,kawasaki
225,2004 Kawasaki Ninja 636 cc,gas,33186,blue,clean,manual,good,636,sport bike,3500,2004,dallas,kawasaki
226,2004 Ninja ZX12R,gas,10420,blue,clean,manual,,1200,sport bike,5400,2004,corpuschristi,ninja
227,2004 Suzuki GZ 250,gas,7200,black,clean,manual,good,250,cruiser,1250,2004,dallas,suzuki
228,2004 Yamaha FJR 1300,gas,50000,silver,clean,manual,good,1300,sport touring,5000,2004,dallas,yamaha
229,2004 Yamaha Royal Star Midnight Venture,gas,30000,black,clean,manual,excellent,,touring,6950,2004,houston,yamaha
230,2004 Yamaha XVS1100 1100,gas,16000,silver,rebuilt,automatic,good,Unknown,,3995,2004,dallas,yamaha
231,2004 harley davidson electra glide ultra classic,gas,34000,blue,clean,manual,excellent,,touring,8300,2004,sanantonio,harley
232,2005 *Harley-Davidson* *Dyna* *Wide* *Glide* *FXDWGI*,other,39329,,clean,manual,,,,6782,2005,abilene,harleydavidson
233,2005 BIG DOG BULLDOG SOFTAIL CHOPPER,gas,10800,custom,clean,manual,excellent,117,chopper,10500,2005,houston,big
234,2005 HD FLHPI - Road King Police,,,,,,,,,7500,2005,austin,hd
235,2005 HD Softail Deluxe,gas,24000,custom,clean,manual,excellent,1450,touring,7750,2005,dallas,hd
236,2005 HD VRSCSE Screamin Eagle,gas,1517,red,clean,manual,like new,1250,sport touring,15000,2005,beaumont,hd
237,2005 Harley 1200 Custom,gas,18000,,clean,manual,,,,4000,2005,dallas,harley
238,2005 Harley Davidson,gas,3600,black,clean,manual,excellent,88,sport touring,6800,2005,austin,harley
239,2005 Harley Davidson FLHTCUI,gas,57028,,,manual,excellent,,,15000,2005,amarillo,harley
240,2005 Harley Davidson Softtail Springer,gas,18438,blue,clean,manual,excellent,,other,10000,2005,austin,harley
241,2005 Harley Davidson Sportster,,,,,,,,,4000,2005,easttexas,harley
242,2005 Harley Davidson Ultra Classic,gas,36862,,,manual,excellent,,touring,6500,2005,corpuschristi,harley
243,2005 Harley Davison Lowrider,,,,,,,,,9000,2005,dallas,harley
244,2005 Harley-Davidson Dyna Super Glide Custom FXDC,gas,41308,red,clean,manual,,,,9599,2005,corpuschristi,harleydavidson
245,2005 Harley-Davidson Ultra Classic w/sidecar SKU:M0204,gas,7235,red,clean,manual,,,,32980,2005,dallas,harleydavidson
246,2005 Harley-Davidson® FLHRCI - Road King® Classic,,,,,,,,,8850,2005,corpuschristi,harleydavidson
247,2005 Harley-Davidson® FLHRI - Road King®,,,,,,,,,9850,2005,dallas,harleydavidson
248,2005 Harley-Davidson® FLHRS - Road King Custom V Twin 1442.1 cc,,,,,,,,,7985,2005,beaumont,harleydavidson
249,2005 Harley-Davidson® FLHTCUI - Electra Glide,,,,,,,,,6999,2005,amarillo,harleydavidson
250,2005 Harley-Davidson® FLSTCI - Heritage Softail® Classic,,,,,,,,,7996,2005,dallas,harleydavidson
251,2005 Harley-Davidson® FLSTFI - Softail® Fat Boy®,,,,,,,,,7990,2005,dallas,harleydavidson
252,2005 Harley-Davidson® XL1200C - Sportster® Custom 1200,,,,,,,,,4950,2005,austin,harleydavidson
