,Product,Price,year,City,Brand
281,2009 Harley-Davidson Dyna Street Bob,8999,2009,beaumont,Harley-Davidson
282,2012 Kawasaki Ninja ZX14R ZX 14 R ZX-14-R Ninja ZX 14R Ninja ZX-14R,9299,2012,beaumont,Kawasaki
283,2015 Kawasaki Ninja ZX6R ZX 6 R ZX-6-R Ninja ZX 6R Ninja ZX-6R,9299,2015,beaumont,Kawasaki
284,2015 Kawasaki Ninja ZX6R ZX 6 R ZX-6-R ABS Ninja ZX 6R ABS Ninja ZX-6,9499,2015,beaumont,Kawasaki
285,2016 Honda CBR600RR CBR 600 RR CBR-600-RR,9599,2016,beaumont,Honda
286,2015 Kawasaki Ninja ZX6R ZX 6 R ZX-6-R Ninja ZX 6R Ninja ZX-6R,9649,2015,beaumont,Kawasaki
287,2014 Suzuki GSXR750 GSXR 750 GSXR-750 GSX R750 GSX-R750,9699,2014,beaumont,Suzuki
288,2016 Yamaha YZFR6 YZFR 6 YZFR-6 60th 60 th 60-th anniversary YZF R6 6,10849,2016,beaumont,Yamaha
289,2018 Honda CBR600RR CBR 600 RR CBR-600-RR,10990,2018,beaumont,Honda
290,2017 Triumph DAYTONA 675 R (ABS),10990,2017,beaumont,Triumph
291,2014 Suzuki GSXR1000 GSXR 1000 GSXR-1000 GSX R1000 GSX-R1000,10999,2014,beaumont,Suzuki
292,2014 Yamaha YZFR1 YZFR 1 YZFR-1 YZF R1 YZF-R1,12999,2014,beaumont,Yamaha
293,2015 BMW S1000 S 1000 S-1000 RR,13499,2015,beaumont,BMW
294,2016 Yamaha R1 R 1 R-1,14299,2016,beaumont,Yamaha
295,2015 BMW S1000 S 1000 S-1000 RR Premium Package,14499,2015,beaumont,BMW
296,2018 Ducati Panigale 959,14499,2018,beaumont,Ducati
297,2018 Yamaha R1 R 1 R-1,15649,2018,beaumont,Yamaha
298,2017 Suzuki GSXR1000RL7 GSXR 1000 RL 7 GSXR-1000-RL-7 GSX R1000RL7 GS,15699,2017,beaumont,Suzuki
299,2021 Ducati PANIGALE V2 V 2 V-2,15999,2021,beaumont,Ducati
300,2017 Ducati 1299S 1299 S 1299-S ABS,19888,2017,beaumont,Ducati
301,2018 Ducati PANIGALE V4 V 4 V-4 S,22999,2018,beaumont,Ducati
