,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
670,2014 Yamaha FZ 09,gas,21000,grey,clean,manual,excellent,850,,5500,2014,dallas,harley
671,2014 Yamaha R6 R 6 R-6,gas,16161,,clean,manual,excellent,,sport bike,9349,2014,dallas,harleydavidson
672,2014 Yamaha Stryker V Twin 1304 cc,Unknown,12728,red,clean,manual,,,,7250,2014,dallas,harleydavidson
673,2014 Yamaha Stryker®,gas,13335,,clean,other,,,,8450,2014,dallas,bmw
674,2014 Yamaha V Star 950,gas,3124,red,clean,manual,excellent,,,6999,2014,dallas,bmw
675,2014 Yamaha YZF R6 Horizontal In-line 599 cc,Unknown,24150,red,clean,manual,,,,9499,2014,dallas,bmw
676,2014 Yamaha YZFR1 YZFR 1 YZFR-1 YZF R1 YZF-R1,gas,6152,,clean,manual,excellent,,sport bike,12999,2014,beaumont,bmw
677,2014 Yamaha YZFR6 YZFR 6 YZFR-6 YZF R6 YZF-R6  FOR ONLY,gas,32888,,clean,automatic,excellent,,standard,6495,2014,dallas,bmw
678,2014 fat boy lo,gas,4215,,,manual,,,,13500,2014,dallas,bmw
679,2014 harley davidson 72 classic,gas,4030,silver,clean,manual,good,1202,cruiser,7500,2014,sanantonio,bmw
680,2014 harley davidson streetglide,other,39434,white,clean,other,,,,11500,2014,dallas,bmw
681,2014 kawasaki ninja zx-14r,gas,14042,,clean,manual,excellent,,sport bike,8000,2014,houston,bmw
682,2014 up Harley street glide body kit,gas,3000,green,clean,manual,like new,,touring,2000,2014,abilene,canam
683,2015 *BMW* *S1000* *R*,other,15553,black,clean,manual,,,,9981,2015,abilene,ducati
684,2015 *Harley-Davidson* *FLSTC* *Heritage* *Softail*,other,11787,black,clean,manual,,,,14500,2015,abilene,harley
685,2015 *Harley-Davidson* *FLTRXS* *Road* *Glide*,other,5632,black,clean,manual,,,,21971,2015,abilene,harleydavidson
686,2015 *Harley-Davidson* *XL1200X* *Sportster* *Forty-Eight* *ABS* Model,other,5637,,clean,manual,,,,9500,2015,abilene,hd
687,2015 BMW K 1600 GT,gas,25832,,clean,other,,,,12999,2015,houston,hd
688,2015 BMW K 1600 GTL Exclusive,gas,20310,white,clean,other,,,,16950,2015,dallas,harley
689,2015 BMW K1600GT   ** PRICE REDUCED**,gas,23850,black,clean,manual,excellent,1600,sport touring,12950,2015,beaumont,harley
690,2015 BMW R 1200 GS,gas,15491,white,clean,manual,excellent,1200,dual-sport,14950,2015,dallas,harley
691,2015 BMW R 1200 GSA,gas,15491,white,clean,manual,excellent,1200,dual-sport,16000,2015,dallas,harley
692,2015 BMW R nineT,gas,4290,,clean,manual,like new,1200,,10500,2015,austin,harley
693,2015 BMW R1200 GS Adventure,gas,13691,blue,clean,manual,excellent,1200,dual-sport,15000,2015,collegestation,harley
694,2015 BMW S1000 S 1000 S-1000 RR,gas,23271,,clean,manual,excellent,,sport bike,13499,2015,beaumont,harleydavidson
695,2015 BMW S1000 S 1000 S-1000 RR Premium Package,gas,10808,,clean,manual,excellent,,sport bike,14499,2015,beaumont,harleydavidson
696,2015 CAN-AM SPYDER RSS,gas,5657,,clean,manual,,,,9900,2015,dallas,harleydavidson
697,2015 Ducati Hypermotard SP Longitudinal Twin 821.1 cc,Unknown,11360,white,clean,manual,,,,8980,2015,austin,harleydavidson
698,2015 Fz 07,gas,25000,black,clean,manual,good,689,sport bike,6800,2015,dallas,harleydavidson
699,2015 Goldwing,gas,7530,silver,clean,manual,like new,1800,touring,20000,2015,easttexas,harleydavidson
700,2015 HARLEY DAVIDSON SPORTSTER IRON 883,gas,6410,custom,clean,manual,good,883,sport bike,7380,2015,dallas,harleydavidson
701,2015 HARLEY-DAVIDSON Sportster XL1200C,gas,21862,custom,clean,manual,excellent,,cruiser,6695,2015,dallas,harleydavidson
702,2015 HD ELECTRA GLIDE ULTRA CLASSIC LO,,,,,,,,,17975,2015,amarillo,harleydavidson
703,2015 HD Sportster 1200 Custom,gas,8827,orange,clean,manual,good,1200,cruiser,7895,2015,beaumont,harleydavidson
704,2015 Harley CVO,gas,6200,custom,clean,manual,like new,,touring,22500,2015,houston,harleydavidson
705,2015 Harley Davidson 48,diesel,218,black,clean,manual,like new,1200,,9000,2015,houston,harleydavidson
706,2015 Harley Davidson Dyna,gas,1645,white,clean,automatic,excellent,,cruiser,14000,2015,austin,harleydavidson
707,2015 Harley Davidson Softail Slim (GREAT CONDITION),gas,4114,blue,clean,manual,like new,1690,cruiser,13800,2015,houston,harleydavidson
708,2015 Harley Davidson Sport-Iron883,gas,4500,black,clean,manual,excellent,883,street,6900,2015,collegestation,harleydavidson
709,2015 Harley Davidson Sportster Forty Eight 48,,,,,,,,,6500,2015,austin,harleydavidson
710,2015 Harley Davidson Street Glide Special,gas,15267,,clean,manual,excellent,,touring,16500,2015,easttexas,harleydavidson
711,2015 Harley Davidson XL1200T Cruiser,gas,500,black,clean,manual,like new,,cruiser,8700,2015,beaumont,harleydavidson
712,2015 Harley Davidson sportster 72,gas,9100,black,clean,manual,good,1200,bobber,6200,2015,dallas,harleydavidson
713,2015 Harley-Davidson Cvo Street Glide FLHXSE,gas,20712,,clean,manual,,,,30694,2015,corpuschristi,harleydavidson
714,2015 Harley-Davidson Dyna FLD - Switchback V Twin 1689.5 cc,,,,,,,,,10499,2015,dallas,harleydavidson
715,2015 Harley-Davidson Dyna Low Rider FXDL103,gas,7767,black,clean,manual,,,,14899,2015,corpuschristi,harleydavidson
716,2015 Harley-Davidson Dyna Street Bob V Twin 1689.5 cc,Unknown,11,custom,clean,manual,,,,11980,2015,austin,honda
717,2015 Harley-Davidson Heritage Softail Classic FLSTC103,gas,2638,black,clean,manual,,,,17280,2015,mcallen,honda
718,2015 Harley-Davidson Softail Slim FLS103,gas,14789,,clean,manual,,,,13999,2015,corpuschristi,honda
719,2015 Harley-Davidson XG500 Street 500 - FINANCING AVAILABLE!,,,,,,,,,8190,2015,beaumont,honda
720,2015 Harley-Davidson® FLHTCUL - Electra Glide® Ultra Classic® Low,,,,,,,,,17450,2015,dallas,honda
721,2015 Harley-Davidson® FLHTKSE - Screamin' Eagle Limited CVO,,,,,,,,,25450,2015,dallas,honda
722,2015 Harley-Davidson® FLHXS - Street Glide® Special,,,,,,,,,17950,2015,austin,honda
723,2015 Harley-Davidson® FLHXSE - Screamin' Eagle Street Glide® CVO,,,,,,,,,24950,2015,dallas,honda
724,"2015 Harley-Davidson® FLRT - Freewheeler 120"" Motor",,,,,,,,,21250,2015,austin,honda
725,2015 Harley-Davidson® FLSTC - Heritage Softail® Classic,,,,,,,,,12899,2015,dallas,honda
726,2015 Harley-Davidson® FLTRX - Road Glide®,,,,,,,,,17380,2015,austin,honda
727,2015 Harley-Davidson® FLTRXS - Road Glide® Special,,,,,,,,,17960,2015,austin,honda
728,2015 Harley-Davidson® FXDF - Dyna® Fat Bob®,,,,,,,,,12450,2015,dallas,indian
729,2015 Harley-Davidson® FXDWG - Dyna® Wide Glide®,,,,,,,,,12590,2015,dallas,indian
730,2015 Harley-Davidson® FXSB - Softail® Breakout®,,,,,,,,,15750,2015,dallas,indian
731,2015 Harley-Davidson® XG500 - Street 500,,,,,,,,,4999,2015,dallas,indian
732,2015 Harley-Davidson® XG750 - Street 750,,,,,,,,,5750,2015,dallas,ktm
733,2015 Harley-Davidson® XL1200X - Sportster® Forty-Eight®,,,,,,,,,8750,2015,dallas,ktm
734,2015 Harley-Davidson® XL883L - Sportster® SuperLow®,,,,,,,,,7250,2015,dallas,ktm
735,2015 Honda CBR 1000 RR,gas,25000,orange,clean,manual,good,1000,sport bike,13500,2015,corpuschristi,kawasaki
736,2015 Honda CBR 600RR 600 RR 600-RR for $195/mo a month!,gas,4841,,clean,manual,excellent,,sport bike,9495,2015,dallas,kawasaki
737,2015 Honda CBR1000RR CBR 1000 RR CBR-1000-RR,gas,16465,,clean,manual,excellent,,sport bike,11299,2015,dallas,kawasaki
738,2015 Honda CBR600RR (Black),gas,2990,black,clean,manual,like new,600,sport bike,8000,2015,austin,kawasaki
739,2015 Honda CRF250L,gas,4800,black,clean,manual,good,250,street,5500,2015,dallas,kawasaki
740,2015 Honda CRF450R,gas,300,,,manual,excellent,450,dirtbike,4400,2015,houston,kawasaki
741,2015 Honda CTX 700 Parallel Twin 670 cc,Unknown,746,blue,clean,manual,,,,7499,2015,houston,kawasaki
742,2015 Honda Grom  -Finance it with Instant Credit Approval!,,,,,,,,,2495,2015,austin,kawasaki
743,2015 Honda NM4,gas,2500,black,clean,automatic,excellent,670,cruiser,8850,2015,austin,polaris
744,2015 Honda-vt750c2b,gas,5414,silver,clean,manual,excellent,,,5800,2015,dallas,polaris
745,2015 Indian Motorcycle® Chief® Classic,,,,,,,,,12750,2015,corpuschristi,road
746,2015 Indian Motorcycle® Chief® Vintage,gas,3487,black,clean,other,,111,,13950,2015,dallas,road
747,2015 Indian Scout Thunder Black V Twin 1130.7 cc,,16405,custom,clean,manual,,,,8485,2015,corpuschristi,suzuki
748,2015 KTM 1290 Super Duke R ABS,gas,3054,,clean,manual,excellent,,sport bike,12499,2015,dallas,suzuki
749,2015 Kawasaki KLR650,gas,9646,green,clean,other,,,,6480,2015,austin,suzuki
750,2015 Kawasaki KX450F - Fuel Injected - Clean Title,,,,,,,,,4400,2015,austin,suzuki
751,2015 Kawasaki KX85,gas,,green,clean,other,,,,3999,2015,dallas,victory
752,2015 Kawasaki Ninja  ZX6R ZX 6 R ZX-6-R ZX 6R ZX-6R for $200/mo a mont,gas,6463,,clean,automatic,excellent,,sport bike,9695,2015,dallas,yamaha
753,2015 Kawasaki Ninja 1000 ABS,gas,8127,,clean,manual,,1000,sport bike,9599,2015,dallas,yamaha
754,2015 Kawasaki Ninja 300 Parallel Twin 296 cc,Unknown,991,green,clean,manual,,,,4999,2015,dallas,yamaha
755,2015 Kawasaki Ninja 650,gas,15597,orange,lien,manual,good,,sport touring,5500,2015,corpuschristi,yamaha
756,2015 Kawasaki Ninja ZX6R ZX 6 R ZX-6-R ABS Ninja ZX 6R ABS Ninja ZX-6,gas,8058,,clean,manual,excellent,,sport bike,9499,2015,beaumont,yamaha
757,2015 Kawasaki Ninja ZX6R ZX 6 R ZX-6-R Ninja ZX 6R Ninja ZX-6R,gas,5822,,clean,manual,excellent,,sport bike,9649,2015,amarillo,yamaha
758,2015 Kawasaki Versys,gas,6463,,clean,automatic,excellent,,sport bike,5200,2015,dallas,yamaha
