,Unnamed: 0,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
117,117,2001 Harley-Davidson® FXSTD - Softail® Deuce,,,,,,,,,7950,2001,Corpus Christi,Harley Davidson
118,118,2001 Harley-Davidson® FXSTS - Springer Softail®,,,,,,,,,9990,2001,Dallas,Harley Davidson
119,119,2001 Honda 750 ace bobber,gas,10000,black,salvage,manual,good,,bobber,3250,2001,Dallas,Honda
120,120,2001 Honda Shadow Spirit 750DC,,,,,,,,,3000,2001,Dallas,Honda
121,121,2001 Honda Valkyrie 1500 F6,gas,12690,black,,manual,excellent,,,6500,2001,Amarillo,Honda
122,122,2001 Triumph Tiger 955i,hybrid,24000,,,automatic,good,,,2495,2001,Beaumont,Triumph
123,123,2001 Yamaha FZ1,Unknown,21772,blue,clean,other,,,,3490,2001,East Texas,Yamaha
124,124,2001 Yamaha Road Star Bagger,gas,20000,,clean,manual,like new,1600,touring,4195,2001,Abilene,Yamaha
125,125,2001 Yamaha XVS 1100,gas,33000,black,clean,manual,excellent,1100,cruiser,3000,2001,Austin,Yamaha
126,126,2001 kawasaki Vulcan 800,gas,24000,red,clean,manual,like new,,cruiser,7800,2001,Dallas,Kawasaki
127,127,2002 BMW R1150 RT Motorcycle,gas,120000,,,manual,excellent,,sport touring,3700,2002,Austin,BMW
128,128,2002 HONDA CBR11,gas,40456,black,clean,manual,good,1100,sport bike,4500,2002,Amarillo,Honda
129,129,2002 HONDA GOLDWING 1800  TRIKE ADVENTURE - ONLY 58K MILES,,,,,,,,,14500,2002,Houston,Honda
130,130,2002 Harley Davidson Fatboy,gas,27010,,,manual,,,,6500,2002,East Texas,Harley Davidson
131,131,2002 Harley Davidson Heritage Softail,gas,43353,black,clean,manual,excellent,,cruiser,6500,2002,Houston,Harley Davidson
132,132,2002 Harley Davidson Night Train,gas,19335,,,manual,,,,10000,2002,San Antonio,Harley Davidson
133,133,2002 Harley Dyna Low Rider Custom,gas,24500,red,clean,manual,excellent,1449,cruiser,6900,2002,Houston,Harley Davidson
